,Causality,ANOVA-F,Mutual_info,Chi2,Kendall,Outlier,Bias,Variance,Distribution
service_type,-0.6094093027378902,,0.699847870240657,208547.19825784562,,,0.40501610402004057,2.385780746749374e-05,
complaint_level,0.08797201922908471,,0.013959814050175101,8089.307698455095,,,0.5479541930096624,0.004956459501371824,
contract_type,-0.05518750409311801,,0.4887770431842431,414662.40543645975,,,0.39544315877370867,0.00045329834188238106,
gender,-0.15145922129608191,,0.03612792299891954,461.0240475853719,,,0.5437939878325182,0.0,
is_mix_service,-0.7107386055080198,,0.061312028734117785,30001.498179188962,,,0.521606226887749,0.0,
is_promise_low_consume,0.478326891253829,,0.04765050543966787,15978.462683813825,,,0.5313581056900871,0.0,
many_over_bill,-0.5825913391414708,,0.3953773763325841,70263.14340050137,,,0.44679708934748896,0.0,
net_service,-0.08650657905846115,,0.02745364864098443,130.26412110479808,,,0.5442562328522009,0.007091733269712514,
1_total_fee,0.00646424000746304,26506.879718853426,0.8772293301984684,,0.06756020745315171,0.0177011339998658,0.3403763569127997,0.07886496480973398,0.1945325569410684
2_total_fee,0.002503393097100126,22583.413390075166,0.8153803460690772,,0.07893606379255463,0.017996376568476146,0.3640403196946201,0.08708994393415245,0.18700961412534634
3_total_fee,0.002666103431423039,24633.258451578575,0.9040305107636368,,0.05792661141435299,0.016207027667807378,0.3345759274722653,0.08134319456041991,0.18066352719830725
4_total_fee,0.00251265749277918,22412.332122394047,0.7952008901796748,,0.07055062763838095,0.017258270146950278,0.38330549922462126,0.09855958487415006,0.1796487785234333
age,-0.013152695909630197,3776.9966263986485,0.19128385479557464,,-0.07995422064445272,0.005457514147039746,0.5337289753071692,0.010197721579386856,0.10306140667981334
contract_time,0.008058126379310249,31447.061280471695,0.5317559814159578,,-0.13083147355700145,6.262721152340693e-05,0.3821871644995825,0.004594119050459263,0.38066777841734883
former_complaint_fee,-1.2789769243681803e-13,0.1214284376603648,0.009759545564270944,,-0.02460743630195007,4.473372251671923e-06,0.548326971251342,0.006095669807944649,0.5008099893496045
former_complaint_num,-0.04384432751491385,483.20362969306353,0.012626441124586218,,0.005340868949257767,0.022340021024849582,0.5478050817129906,0.0010601813193367529,0.5144852760684581
last_month_traffic,0.00014133356773271544,7774.036681509889,0.5497152791086175,,-0.06469394075491855,0.023793867006642957,0.37845938208278657,0.03857061911010378,0.359236877722762
local_caller_time,-4.013087506304913e-05,3456.8110167544837,0.13458750898073912,,0.03139807664024063,0.017070388512380057,0.5627609447691757,0.16827657163306692,0.3151519273030433
local_trafffic_month,-7.893833136041195e-06,4533.336312964409,0.2572013285167798,,0.06290779184459977,0.021396139479746806,0.5860670404389836,0.18336514374328997,0.2875471817378743
month_traffic,-3.6931559374675516e-05,4899.337238471101,0.5330389871504355,,-0.028600497375524968,0.013442483616274129,0.4572199689848503,0.13289246093284027,0.33836234882545074
online_time,0.0022299760721335993,20023.99274177453,0.5267787946073161,,-0.061103257096099366,0.020018340826231856,0.4250566622927353,0.0248702731718955,0.26138810976381455
pay_num,0.0003227269087919815,3135.942762636572,0.38256210440727534,,0.048357605381244874,0.00730501688698025,0.4840301801264464,0.03521114159608731,0.2977542717830224
pay_times,-0.029243118999953133,448.3329370219681,0.022064912120739688,,0.022585038911621853,0.011232637723948198,0.5495198616247167,9.394011690325662e-05,0.2746873810904332
service1_caller_time,-0.0025468339702898746,191.58006407040511,0.16095422378627866,,-0.005426703607892907,0.019324968127222706,0.584307527138256,0.16199302159131576,0.340462222327856
service2_caller_time,0.003444301211499745,12844.21926058801,0.5651088499452337,,0.04317673707774441,0.014153749804289965,0.4585470595252296,0.19717732315400213,0.2799426685268743
